"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J100","ARR_100X100X32P","1372mil","1926mil","1222mil","2276mil","1222mil","2276mil","T","0.00","ARR_32P"
"J13","HDR1X3","3135mil","2673mil","3035mil","2673mil","3035mil","2673mil","T","360.00","3-WAY JUMPER"
"U6","SOT230P700X180-4L","2861mil","1618mil","2861mil","1618mil","2977.142mil","1708.551mil","B","180.00","AP2114H-3.3TRG1"
"C34","CAPC0603(1608)55_L","2761mil","1456mil","2761mil","1456mil","2733.441mil","1456mil","B","360.00","CAP 4.7uF 10V 0603(1608)"
"C33","CAPC0603(1608)55_L","2895mil","1456mil","2895mil","1456mil","2867.441mil","1456mil","B","360.00","CAP 4.7uF 10V 0603(1608)"
"U4","LDC08A","3327mil","1207mil","3327mil","1207mil","3391.961mil","1254.244mil","B","180.00","LM1086ILD-3.3/NOPB"
"C32","CAPC0402(1005)33_L","2385mil","2024mil","2385mil","2024mil","2385mil","2039.748mil","B","270.00","CAP 10nF 16V 0402(1005)"
"C31","CAPC0402(1005)33_L","2033mil","2053mil","2033mil","2053mil","2033mil","2068.748mil","B","270.00","CAP 10nF 16V 0402(1005)"
"C30","CAPC0402(1005)60_L","2068mil","2053mil","2068mil","2053mil","2068mil","2068.748mil","B","270.00","CAP 100nF 16V 0402(1005)"
"C25","CAPC0402(1005)60_L","2420mil","2024mil","2420mil","2024mil","2420mil","2039.748mil","B","270.00","CAP 100nF 16V 0402(1005)"
"U3","TI-DBQ16_N","3135mil","2340mil","3135mil","2340mil","3237.362mil","2252.5mil","T","180.00","SN74CBTLV3257DBQR"
"U2","SPANSION-SOIC127P600X175-8M","3133mil","2086mil","3133mil","2086mil","3238.315mil","2011mil","T","180.00","S25FL216K0PMFI041"
"R8","RESC0402(1005)40_L","3105mil","2058mil","3105mil","2058mil","3105mil","2075.716mil","B","270.00","4K7"
"R7","RESC0402(1005)40_L","3161mil","2058mil","3161mil","2058mil","3161mil","2075.716mil","B","270.00","4K7"
"C22","CAPC0402(1005)60_L","3017mil","2222mil","3017mil","2222mil","3032.748mil","2222mil","T","180.00","CAP 100nF 16V 0402(1005)"
"C1","CAPC0402(1005)60_L","3043mil","1948mil","3043mil","1948mil","3027.252mil","1948mil","T","0.00","CAP 100nF 16V 0402(1005)"
"D1","DO-214AC","3326mil","1366mil","3326mil","1366mil","3255.528mil","1366mil","B","360.00","S1G"
"C24","AVX-CAPC3528_V","3516mil","1299mil","3516mil","1299mil","3516mil","1236.008mil","B","90.00","TAJB106K020R"
"C23","AVX-CAPC3528_V","3138mil","1297mil","3138mil","1297mil","3138mil","1234.008mil","B","90.00","TAJB106K020R"
"R22","RESC0402(1005)40_L","2735.716mil","2426mil","2735.716mil","2426mil","2718mil","2426mil","T","360.00","330R 1 0402"
"R21","RESC0402(1005)40_L","2730mil","1703mil","2730mil","1703mil","2712.284mil","1703mil","T","360.00","4K7 1 0402"
"R6","RESC0402(1005)40_L","2571mil","1713mil","2571mil","1713mil","2571mil","1730.716mil","B","270.00","4K7 1 0402"
"R5","RESC0402(1005)40_L","2730mil","1750mil","2730mil","1750mil","2712.284mil","1750mil","T","0.00","4K7 1 0402"
"R4","RESC0402(1005)40_L","2555mil","2145mil","2555mil","2145mil","2555mil","2127.284mil","B","90.00","1K 1 0402"
"R3","RESC0402(1005)40_L","2736mil","2336mil","2736mil","2336mil","2753.716mil","2336mil","T","180.00","100R 1 0402"
"R2","RESC0402(1005)40_L","2556mil","2323mil","2556mil","2323mil","2556mil","2340.716mil","B","270.00","4K7 1 0402"
"R1","RESC0402(1005)40_L","2737mil","2387mil","2737mil","2387mil","2719.284mil","2387mil","T","360.00","100R 1 0402"
"C29","CAPC0402(1005)60_L","2729mil","1808mil","2729mil","1808mil","2744.748mil","1808mil","T","180.00","CAP 470nF 10V 0402(1005)"
"C28","CAPC0402(1005)60_L","2579mil","1559mil","2579mil","1559mil","2579mil","1543.252mil","T","90.00","CAP 470nF 10V 0402(1005)"
